X,Y,cadmium,copper,lead,zinc,elev,ffreq,soil,dist.m
181072,333611,11.7,85,299,1022,7.909,1,1,50
181025,333558,8.6,81,277,1141,6.983,1,1,30
181165,333537,6.5,68,199,640,7.8,1,1,150
181298,333484,2.6,81,116,257,7.655,1,2,270
181307,333330,2.8,48,117,269,7.48,1,2,380
181390,333260,3,61,137,281,7.791,1,2,470
181165,333370,3.2,31,132,346,8.217,1,2,240
181027,333363,2.8,29,150,406,8.49,1,1,120
181060,333231,2.4,37,133,347,8.668,1,1,240
181232,333168,1.6,24,80,183,9.049,1,2,420
181191,333115,1.4,25,86,189,9.015,1,2,400
181032,333031,1.8,25,97,251,9.073,1,1,300
180874,333339,11.2,93,285,1096,7.32,1,1,20
180969,333252,2.5,31,183,504,8.815,1,1,130
181011,333161,2,27,130,326,8.937,1,1,220
180830,333246,9.5,86,240,1032,7.702,1,1,10
180763,333104,7,74,133,606,7.16,1,1,10
180694,332972,7.1,69,148,711,7.1,1,1,10
180625,332847,8.7,69,207,735,7.02,1,1,10
180555,332707,12.9,95,284,1052,6.86,1,1,10
180642,332708,5.5,53,194,673,8.908,1,1,80
180704,332717,2.8,35,123,402,8.99,1,1,140
180704,332664,2.9,35,110,343,8.83,1,1,160
181153,332925,1.7,24,85,218,9.02,1,2,440
181147,332823,1.4,26,75,200,8.976,1,2,490
181167,332778,1.5,22,76,194,8.973,1,2,530
181008,332777,1.3,27,73,207,8.507,1,2,400
180973,332687,1.3,24,67,180,8.743,1,2,400
180916,332753,1.8,22,87,240,8.973,1,2,330
181352,332946,1.5,21,65,180,9.043,1,2,630
181133,332570,1.3,29,78,208,8.688,1,2,570
180878,332489,1.3,21,64,198,8.727,1,2,390
180829,332450,2.1,27,77,250,8.328,1,2,360
180954,332399,1.2,26,80,192,7.971,1,2,500
180956,332318,1.6,27,82,213,7.809,1,2,550
180710,332330,3,32,97,321,6.986,1,2,340
180632,332445,5.8,50,166,569,7.756,1,2,210
180530,332538,7.9,67,217,833,7.784,1,1,60
180478,332578,8.1,77,219,906,7,1,1,10
180383,332476,14.1,108,405,1454,6.92,1,1,20
180494,332330,2.4,32,102,298,7.516,1,2,170
180561,332193,1.2,21,48,167,8.18,1,2,320
180451,332175,1.7,22,65,176,8.694,1,2,260
180410,332031,1.3,21,62,258,9.28,1,2,360
180355,332299,4.2,51,281,746,7.94,1,2,100
180292,332157,4.3,50,294,746,6.36,1,2,200
180283,332014,3.1,38,211,464,7.78,1,2,320
180282,331861,1.7,26,135,365,8.18,1,2,480
180270,331707,1.7,24,112,282,9.42,1,2,660
180199,331591,2.1,32,162,375,8.867,1,2,690
180135,331552,1.7,24,94,222,8.292,1,2,710
180237,332351,8.2,47,191,812,8.06,1,1,10
180103,332297,17,128,405,1548,7.98,1,1,10
179973,332255,12,117,654,1839,7.9,1,1,10
179826,332217,9.4,104,482,1528,7.74,1,1,10
179687,332161,8.2,76,276,933,7.552,1,1,20
179792,332035,2.6,36,180,432,7.76,1,1,200
179902,332113,3.5,34,207,550,6.74,1,1,140
180100,332213,10.9,90,541,1571,6.68,1,1,70
179604,332059,7.3,80,310,1190,7.4,1,1,20
179526,331936,9.4,78,210,907,7.44,1,1,10
179495,331770,8.3,77,158,761,7.36,1,1,10
179489,331633,7,65,141,659,7.2,1,1,20
179414,331494,6.8,66,144,643,7.22,1,1,10
179334,331366,7.4,72,181,801,7.36,1,1,20
179255,331264,6.6,75,173,784,5.18,1,1,20
179470,331125,7.8,75,399,1060,5.8,1,1,270
179692,330933,0.7,22,45,119,7.64,1,1,560
179852,330801,3.4,55,325,778,6.32,1,1,750
179140,330955,3.9,47,268,703,5.76,1,1,80
179128,330867,3.5,46,252,676,6.48,1,1,130
179065,330864,4.7,55,315,793,6.48,1,1,110
179007,330727,3.9,49,260,685,6.32,1,1,200
179110,330758,3.1,39,237,593,6.32,1,1,260
179032,330645,2.9,45,228,549,6.16,1,1,270
179095,330636,3.9,48,241,680,6.56,1,1,320
179058,330510,2.7,36,201,539,6.9,1,1,360
178810,330666,2.5,36,204,560,7.54,1,1,80
178912,330779,5.6,68,429,1136,6.42,1,1,100
178981,330924,9.4,88,462,1383,6.28,1,1,70
179076,331005,10.8,85,333,1161,6.34,1,1,20
180151,330353,18.1,76,464,1672,7.307,1,1,50
179211,331175,6.3,63,159,765,5.7,1,1,80
181118,333214,2.1,32,116,279,7.72,1,2,290
179474,331304,1.8,25,81,241,7.932,2,2,160
179559,331423,2.2,27,131,317,7.82,2,1,160
179022,330873,2.8,36,216,545,8.575,2,1,140
178953,330742,2.4,41,145,505,8.536,2,1,150
178875,330516,2.6,33,163,420,8.504,2,1,220
178803,330349,1.8,27,129,332,8.659,2,1,280
179029,330394,2,38,148,400,7.633,2,1,450
178605,330406,2.7,37,214,553,8.538,2,1,70
178701,330557,2.7,34,226,577,7.68,2,1,70
179547,330245,0.9,19,54,155,7.564,2,1,340
179301,330179,0.9,22,70,224,7.76,2,1,470
179405,330567,0.4,26,73,180,7.653,2,1,630
179462,330766,0.8,25,87,226,7.951,2,1,460
179293,330797,0.4,22,76,186,8.176,2,1,320
179180,330710,0.4,24,81,198,8.468,2,1,320
179206,330398,0.4,18,68,187,8.41,2,1,540
179618,330458,0.8,23,66,199,7.61,2,1,420
179782,330540,0.4,22,49,157,7.792,2,1,380
179980,330773,0.4,23,63,203,8.76,2,2,500
180067,331185,0.4,23,48,143,9.879,2,3,760
180162,331387,0.2,23,51,136,9.097,2,2,750
180451,331473,0.2,18,50,117,9.095,2,3,1000
180328,331158,0.4,20,39,113,9.717,2,3,860
180276,330963,0.2,22,48,130,9.924,2,3,680
